details,prix,adresse,img_link,source,page
Lapins métis californiens,10 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg,"Poules, Lapins et Pigeons",1
Lapin Californien,120 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg,"Poules, Lapins et Pigeons",1
Poussin herminé,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg,"Poules, Lapins et Pigeons",1
Femelle brahma caillouté,55 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5159050_uploaded_image1_1738156403.jpg,"Poules, Lapins et Pigeons",1
Femelle brahma caillouté,55 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5159019_uploaded_image1_1738155613.jpg,"Poules, Lapins et Pigeons",1
Femelle Barmane,35 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5124363_uploaded_image1_1736298689.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain,150 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg,"Poules, Lapins et Pigeons",1
Mâle Brahma,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5121430_uploaded_image1_1736164839.jpg,"Poules, Lapins et Pigeons",1
Lapin,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg,"Poules, Lapins et Pigeons",1
Lapin,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg,"Poules, Lapins et Pigeons",1
Poussin Herminé,36 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg,"Poules, Lapins et Pigeons",1
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg,"Poules, Lapins et Pigeons",1
Couple lahore lavande,30 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain,200 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg,"Poules, Lapins et Pigeons",1
Poussin brahman,25 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg,"Poules, Lapins et Pigeons",1
Mondain noir,150 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg,"Poules, Lapins et Pigeons",1
couple boulon saxe,45 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg,"Poules, Lapins et Pigeons",1
Couple adulte métisses,35 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5064256_uploaded_image1_1732714222.jpg,"Poules, Lapins et Pigeons",1
Poule Brahma,45 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg,"Poules, Lapins et Pigeons",1
Couple mantau écailles de 2 mois,15 000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg,"Poules, Lapins et Pigeons",1
lapins mâle adulte,15 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5000540_uploaded_image1_1729260478.jpg,"Poules, Lapins et Pigeons",1
Rex garenne,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4998472_uploaded_image1_1729159431.jpg,"Poules, Lapins et Pigeons",1
Pigeon pan indien,10 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg,"Poules, Lapins et Pigeons",1
Poule Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg,"Poules, Lapins et Pigeons",1
Couple lapins,15 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4981240_uploaded_image1_1728309289.jpg,"Poules, Lapins et Pigeons",1
Lapins,15 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg,"Poules, Lapins et Pigeons",1
Coq,3 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975038_uploaded_image1_1727964716.jpg,"Poules, Lapins et Pigeons",1
Lapin,15 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg,"Poules, Lapins et Pigeons",1
Lapin,50 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954195_uploaded_image1_1726867840.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,Prix sur demande,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,15 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946878_uploaded_image1_1726499637.jpg,"Poules, Lapins et Pigeons",1
Poulets Fermiers,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,25 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4936241_uploaded_image1_1725920934.jpg,"Poules, Lapins et Pigeons",1
Poule Brahma,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg,"Poules, Lapins et Pigeons",1
couples lapins,15 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4932369_uploaded_image1_1725702422.jpg,"Poules, Lapins et Pigeons",1
Métisse Brahma,50 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4921301_uploaded_image1_1725195914.jpg,"Poules, Lapins et Pigeons",1
Pigeons Voyageurs  et boulants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg,"Poules, Lapins et Pigeons",1
pigeon voyageur,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917441_uploaded_image1_1724967120.jpg,"Poules, Lapins et Pigeons",1
Pigeon Boulant Gaditano,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4884507_uploaded_image1_1723139531.jpg,"Poules, Lapins et Pigeons",1
Poules Bleu Hollande,5 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg,"Poules, Lapins et Pigeons",1
Lapereaux Gdf,60 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4868318_uploaded_image1_1722369912.jpg,"Poules, Lapins et Pigeons",1
Lapin nain,30 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg,"Poules, Lapins et Pigeons",1
Cochin Caillouté Et Porteur Caillouté,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4862961_uploaded_image1_1722048205.jpg,"Poules, Lapins et Pigeons",1
Pigeon mondain noir,170 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4862270_uploaded_image1_1722006320.jpg,"Poules, Lapins et Pigeons",1
Pan indien blanc,35 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860862_uploaded_image1_1721930737.jpg,"Poules, Lapins et Pigeons",1
Pigeons  Texan,20 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860848_uploaded_image1_1721930260.jpg,"Poules, Lapins et Pigeons",1
Couple pigeon mondain blanc,70 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg,"Poules, Lapins et Pigeons",1
Paires engoura,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4841263_uploaded_image1_1720874099.jpg,"Poules, Lapins et Pigeons",1
Jeune Mondain 2024,150 000,"Thiaroye, Sénégal",https://images.coinafrique.com/thumb_4840128_uploaded_image1_1720797760.jpg,"Poules, Lapins et Pigeons",1
Œufs fertiles et poussins de goliath,15 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4836511_uploaded_image1_1720629763.jpg,"Poules, Lapins et Pigeons",1
Lapereaux métisse Géant et Californien,15 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829597_uploaded_image1_1720290196.jpg,"Poules, Lapins et Pigeons",1
Poussin Herminé standard,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824502_uploaded_image1_1720037338.jpg,"Poules, Lapins et Pigeons",1
Mâle brahman Hierminés,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4824501_uploaded_image1_1720037293.jpg,"Poules, Lapins et Pigeons",1
Cochin porteur caillouté paire,120 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818681_uploaded_image1_1719796046.jpg,"Poules, Lapins et Pigeons",1
Hermines et cochins,500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4817873_uploaded_image1_1719747122.jpg,"Poules, Lapins et Pigeons",1
Jeune mâle hermine,60 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4810642_uploaded_image1_1719347241.jpg,"Poules, Lapins et Pigeons",1
Poulet du pays,3 500,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg,"Poules, Lapins et Pigeons",1
Poule Brahma,95 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4807398_uploaded_image1_1719187421.jpg,"Poules, Lapins et Pigeons",1
Jeune couple Mondain,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800310_uploaded_image1_1718745887.jpg,"Poules, Lapins et Pigeons",1
Texan pionnier,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800306_uploaded_image1_1718745517.jpg,"Poules, Lapins et Pigeons",1
Poulet race,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg,"Poules, Lapins et Pigeons",1
Poulets,2 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg,"Poules, Lapins et Pigeons",1
Couple lapereau fauve de bourgogne,40 000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4751808_uploaded_image1_1716133783.jpg,"Poules, Lapins et Pigeons",1
Poulets de chair,1 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg,"Poules, Lapins et Pigeons",1
Poulet,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4738369_uploaded_image1_1715444473.jpg,"Poules, Lapins et Pigeons",1
Pigeons voyageurs,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg,"Poules, Lapins et Pigeons",1
Volaille,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724548_uploaded_image1_1714767368.jpg,"Poules, Lapins et Pigeons",1
Poulet Nègre de soie,35 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723223_uploaded_image1_1714727157.jpg,"Poules, Lapins et Pigeons",1
Lapin Angora,20 000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4714367_uploaded_image1_1714245668.jpg,"Poules, Lapins et Pigeons",1
Pigeons King mâle,35 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg,"Poules, Lapins et Pigeons",1
Lapereaux,13 500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4703012_uploaded_image1_1713680804.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mâle voyageur,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690859_uploaded_image1_1713063647.jpg,"Poules, Lapins et Pigeons",1
Couple Pigeons voyageur,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4690857_uploaded_image1_1713063525.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain écailler,170 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4685152_uploaded_image1_1712756876.jpg,"Poules, Lapins et Pigeons",1
Poulets de chair,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4667518_uploaded_image1_1711842967.jpg,"Poules, Lapins et Pigeons",1
Femelle andalou,250 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667144_uploaded_image1_1711815313.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur à manteau,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg,"Poules, Lapins et Pigeons",1
Pigeon Mondain Andalou,300,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664895_uploaded_image1_1711663431.jpg,"Poules, Lapins et Pigeons",1
Pigeon voyageur,10 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4662603_uploaded_image1_1711547811.jpg,"Poules, Lapins et Pigeons",1
Pigeons,50 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4662585_uploaded_image1_1711547077.jpg,"Poules, Lapins et Pigeons",1
Pigeon Texan,80 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4653331_uploaded_image1_1711039616.jpg,"Poules, Lapins et Pigeons",1
Pigeons Mondain,200 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg,"Poules, Lapins et Pigeons",1
Œufs à couver,12 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651892_uploaded_image1_1710962341.jpg,"Poules, Lapins et Pigeons",1
Couple  Brahma Herminé standard,80 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650066_uploaded_image1_1710871182.jpg,"Poules, Lapins et Pigeons",2
Brahma,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4644724_uploaded_image1_1710589505.jpg,"Poules, Lapins et Pigeons",2
Pigeon Boulant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624925_uploaded_image1_1709567352.jpg,"Poules, Lapins et Pigeons",2
Pigeon King,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624920_uploaded_image1_1709567189.jpg,"Poules, Lapins et Pigeons",2
Pigeon voyageur,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624891_uploaded_image1_1709566248.jpg,"Poules, Lapins et Pigeons",2
Pigeons,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623025_uploaded_image1_1709471989.jpg,"Poules, Lapins et Pigeons",2
Pigeon voyageur Manteau Opale,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4621197_uploaded_image1_1709366454.jpg,"Poules, Lapins et Pigeons",2
Poussin oie,35 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619799_uploaded_image1_1709296095.jpg,"Poules, Lapins et Pigeons",2
Poulets de chairs,3 500,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4612683_uploaded_image1_1708957200.jpg,"Poules, Lapins et Pigeons",2
Brahman bleu Lemon,40 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4612273_uploaded_image1_1708946489.jpg,"Poules, Lapins et Pigeons",2
Pigeons,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4612083_uploaded_image1_1708939903.jpg,"Poules, Lapins et Pigeons",2
Lapins,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4612074_uploaded_image3_1708939673.jpeg,"Poules, Lapins et Pigeons",2
Poussin Marans,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4603800_uploaded_image1_1708477906.jpg,"Poules, Lapins et Pigeons",2
Pigeons couple Mondain,170 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4598304_uploaded_image1_1708179510.jpg,"Poules, Lapins et Pigeons",2
Couples lapereaux,100 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4587998_uploaded_image1_1707587252.jpg,"Poules, Lapins et Pigeons",2
Pigeon Lahor,20 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4565457_uploaded_image1_1706369680.jpg,"Poules, Lapins et Pigeons",2
Pigeon Modain,160 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561395_uploaded_image1_1706128448.jpg,"Poules, Lapins et Pigeons",2
Lapereau,10 000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4556321_uploaded_image1_1705859521.jpg,"Poules, Lapins et Pigeons",2
Poulet de chaire,5 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4555523_uploaded_image1_1705793143.jpg,"Poules, Lapins et Pigeons",2
Pigeons King,60 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548383_uploaded_image1_1705424797.jpg,"Poules, Lapins et Pigeons",2
Paire pigeon  jeune King,60 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4545200_uploaded_image1_1705269534.jpg,"Poules, Lapins et Pigeons",2
